batch_size,learning_rate,optimizer,momentum,weight_decay,num_epochs,eer,eer_threshold,fbeta,ks_statistic_val,optimal_threshold_val,True_Positives,False_Positives,False_Negatives,True_Negatives,final_loss,margin
16,0.005688278693332,SGD,0.5388902533471158,3.8879358209954806e-05,2,0.3183856502242152,0.6658642292022705,0.6811444329541537,0.3811659192825111,0.7530867457389832,304,143,142,303,0.609667858391097,
32,0.0001091810346698,Adam,0.5456293411643058,0.00047284023626,2,0.2556053811659193,0.8807191252708435,0.7476683937823834,0.5313901345291481,1.131852149963379,333,111,113,335,0.3870782037124489,
32,0.0019988677477547,SGD,0.81118421354816,7.00001489442821e-05,1,0.2690582959641255,0.6885834336280823,0.7299345504650362,0.5089686098654709,0.8208521008491516,326,122,120,324,0.623841352986567,
16,0.0115746493080574,SGD,0.5780447645813556,1.3555067725965511e-05,1,0.3251121076233184,0.7903631329536438,0.6766632195794554,0.3789237668161435,0.9173014163970948,302,145,144,301,0.6017547606518774,
16,0.0003255569211033,Adam,0.7432881360419006,0.0027326156421135,1,0.2780269058295964,0.805442214012146,0.7232173613503272,0.4461883408071749,0.7942104935646057,323,125,123,321,0.6245562659971642,
16,0.0895471929764708,Adam,0.8734593450135721,0.0379447142181469,2,0.4461883408071749,0.3331811726093292,0.553048570444368,0.1255605381165919,0.3655538558959961,247,201,199,245,0.8943976046461047,
16,0.0001861865887541,Adam,0.8670806606595831,0.0563573845298619,2,0.3004484304932735,0.8735315799713135,0.6985876679297278,0.4304932735426009,0.977313220500946,312,136,134,310,0.5160850340669806,
16,0.0007874586060433,Adam,0.8222366552244103,7.066609604264411e-05,2,0.3071748878923767,0.754230260848999,0.695067264573991,0.4103139013452914,0.8555763363838196,310,136,136,310,0.5719304644700253,
16,0.0008412897852501,Adam,0.8042410251987664,0.0179888238988466,1,0.3520179372197309,0.6954531073570251,0.6475353326439159,0.3408071748878923,0.9691631197929382,289,158,157,288,0.6895799853584983,
32,0.0113490534698657,SGD,0.8877459108604547,0.0037105003203615,2,0.3632286995515695,0.4898310899734497,0.6358939028591113,0.2959641255605381,0.5962386727333069,284,164,162,282,0.8170769083680529,
16,0.0010074310750456,SGD,0.8760245663709563,0.0171702193423869,1,0.3340807174887892,0.7254087328910828,0.6654601861427094,0.3789237668161435,1.0070502758026123,297,150,149,296,0.7075493913708311,
16,0.0343971958361448,SGD,0.6106932564218208,0.0003682799436212,1,0.3744394618834081,0.3353526592254638,0.6246985876679297,0.2645739910313901,0.5435329675674438,279,169,167,277,0.6140051127383204,
16,0.0002424460736428,Adam,0.6228849031313533,5.589866416070704e-05,1,0.257847533632287,0.6900119185447693,0.7416408135125818,0.5089686098654709,0.837783694267273,331,116,115,330,0.5567171239491665,
16,0.0130795598238201,Adam,0.7656179487181873,0.0001710285477911,1,0.3856502242152466,0.3874413967132568,0.6147739040386607,0.2331838565022422,0.3697914481163025,274,171,172,275,0.8599096473419305,
16,0.0618990759489076,Adam,0.7045756618178094,4.7688551064934686e-05,2,0.3654708520179372,0.5451927185058594,0.6367713004484304,0.320627802690583,0.9444608688354492,284,162,162,284,0.6672099038506999,
32,0.0001838344284378,SGD,0.8890059061280171,0.0022899020420427,1,0.3699551569506726,0.6933757662773132,0.6291767137444023,0.3004484304932735,1.0558003187179563,281,167,165,279,0.8070696393648783,
32,0.0655419936775437,SGD,0.5667027356726092,0.000168748313929,2,0.3116591928251121,0.919661283493042,0.6878662530162013,0.3811659192825112,1.1360329389572144,307,140,139,306,0.5792434969634721,
16,0.0064198622578908,SGD,0.8568094283179445,1.60497138728049e-05,2,0.3183856502242152,0.4628066718578338,0.6833850396415029,0.3789237668161435,0.7401774525642395,305,142,141,304,0.542688451481588,
16,0.0001828647625415,Adam,0.673007143988109,1.9093673473049127e-05,1,0.3183856502242152,0.7548489570617676,0.6811444329541537,0.3946188340807175,0.9331265091896056,304,143,142,303,0.6466066765062737,
16,0.0001258877731558,Adam,0.8824631200777162,0.0003706953784014,2,0.2690582959641255,0.7663569450378418,0.7299345504650362,0.4820627802690583,1.1089277267456057,326,122,120,324,0.4808817458423701,
16,0.072786297470092,Adam,0.633583457793654,0.0119836824415772,1,0.3565022421524663,0.3613817095756531,0.6430541192692175,0.289237668161435,0.3580005764961242,287,160,159,286,0.842320571343104,
32,0.0012561497792078,SGD,0.7360867836804117,0.000930561341218,2,0.3273542600896861,0.6873061060905457,0.6734939759036145,0.42152466367713,1.049588322639465,301,148,145,298,0.5694910165938464,
16,0.0052431236068926,Adam,0.8932220209957431,8.72045312411764e-05,1,0.3901345291479821,0.3450909554958343,0.6121076233183856,0.2869955156950672,0.4880944192409515,273,173,173,273,0.8378465031132554,
16,0.0020238940529885,Adam,0.5254997079781359,0.0005926697991542,1,0.3677130044843049,0.4385886788368225,0.6345291479820628,0.2937219730941703,0.5120325684547424,283,163,163,283,0.738196153532375,
32,0.0085724119657069,Adam,0.5382734015890568,0.0010218173208118,1,0.336322869955157,0.549430251121521,0.6632195794553603,0.3430493273542601,0.7116239666938782,296,151,150,295,0.8022449332656283,
32,0.0604198434053236,SGD,0.8837460444529138,0.0053025962908734,2,0.0,inf,0.7647058823529411,0.0,inf,446,446,0,0,1.0,
16,0.0004441397173161,Adam,0.7712379538053269,1.9357204192397966e-05,1,0.3408071748878923,0.583416223526001,0.6605235962797107,0.4080717488789237,0.8310420513153076,295,153,151,293,0.6450782621448691,
