batch_size,learning_rate,optimizer,momentum,weight_decay,num_epochs,eer,eer_threshold,fbeta,ks_statistic_val,optimal_threshold_val,True_Positives,False_Positives,False_Negatives,True_Negatives,final_loss
32,2.8415436673570528e-05,Adam,0.8385159959801771,0.0018882380431864,20,0.2112359550561797,4.498521327972412,0.7915585538834111,0.6202247191011235,4.637557029724121,352,92,93,353,0.0335095195242991
32,0.0428917568163953,SGD,0.5847487915148603,0.0024753078784265,31,0.1370786516853932,3.4610636234283447,0.8639737614362161,0.7280898876404495,3.4555764198303223,385,62,60,383,0.012102797627449
16,0.0057452477182802,Adam,0.6524312572910612,2.3013138601153783e-05,12,0.116,2.983948945999145,0.8853333333333333,0.784,3.13355565071106,664,86,86,664,0.1105587426234375
16,0.0123823839595066,Adam,0.8971172927471116,0.0008924488687338,43,0.184,2.308980941772461,0.8166632506661201,0.6386666666666667,2.2917516231536865,613,139,137,611,0.2205615996298464
32,0.00011956722217,Adam,0.7605812903600819,0.0284009063929791,38,0.0706666666666666,1.2817864418029783,0.9310486353375744,0.8813333333333334,1.3934476375579834,698,51,52,699,0.0590687791732224
64,1.4403952766939438e-05,Adam,0.7978230267556281,0.0001842083947309,32,0.092,2.2964982986450195,0.908,0.8213333333333334,2.4451074600219727,681,69,69,681,0.0289019814269109
16,0.0336560338412678,SGD,0.8829310502159594,2.601421303922994e-05,16,0.0613333333333333,4.344082355499268,0.939614517121181,0.8866666666666666,4.685452461242676,705,46,45,704,0.0051156667145815
64,0.0064431102675093,SGD,0.615549294850294,0.0405542527481968,13,0.1466666666666666,0.8811696767807007,0.8529833914291572,0.74,1.1654311418533323,640,111,110,639,0.1772164629264311
32,5.194205994249545e-05,Adam,0.897309482662795,0.0003864391424448,26,0.0626666666666666,2.63911247253418,0.938281730572073,0.8826666666666667,2.869093894958496,704,47,46,703,0.0060571113262664
32,0.0001545752322436,SGD,0.8421079748575981,0.00396806673708,18,0.2866666666666667,1.2207212448120115,0.7124564638393772,0.4453333333333333,1.2688137292861938,535,218,215,532,0.5326829834417863
32,0.0803415961103207,Adam,0.762142341575469,0.0135633947898924,21,0.3573333333333333,3.336742639541626,0.6421397827423653,0.3279999999999999,4.94610071182251,482,270,268,480,1.3978683206168088
32,1.1919706283745533e-05,SGD,0.7170717838683841,0.0001308814766932,13,0.3506666666666667,1.0100187063217163,0.6490670494156243,0.3186666666666667,0.9828840494155884,487,264,263,486,0.8705314121463082
16,1.1652088182638468e-05,SGD,0.7795222305167253,0.0045105322919986,38,0.3266666666666666,1.035362958908081,0.6743899938486775,0.3613333333333333,1.0828261375427246,506,245,244,505,0.8180542913350192
16,3.845969364248682e-05,Adam,0.8895508941673007,0.0036651422989915,44,0.0626666666666666,1.7878961563110352,0.9386666666666666,0.8826666666666667,1.843538761138916,704,46,46,704,0.0166670297695831
16,0.0003693599084391,SGD,0.6287429802020377,0.081583559813442,15,0.3053333333333333,0.993377685546875,0.6962856556536015,0.4333333333333333,1.0858045816421509,522,227,228,523,0.6245437134395946
64,0.0395990547372651,SGD,0.8420841410814371,0.0033395751707048,15,0.04,1.7259970903396606,0.960545193687231,0.928,1.942847490310669,721,31,29,719,0.0247118549929423
16,4.681682032454139e-05,Adam,0.6666449306852372,0.0003873548741743,12,0.1026666666666666,2.408174753189087,0.8982981340988313,0.8093333333333333,2.6360106468200684,674,77,76,673,0.0353988720950755
64,0.0007027046198012,Adam,0.6490444868684836,0.0002328508145737,25,0.1106666666666666,5.686410903930664,0.8886042221766756,0.7946666666666666,6.306173801422119,667,85,83,665,0.0544432692907073
16,0.0030475108836129,SGD,0.6317930480203252,1.0923675478986398e-05,35,0.112,2.36358904838562,0.8876358417059668,0.784,2.763037919998169,666,85,84,665,0.067030037634752
64,0.076840756341931,Adam,0.5690239210771895,0.0051191538776346,35,0.3773333333333333,10.15338134765625,0.624,0.344,20.231822967529297,468,282,282,468,2.013069223206152
64,0.0158860674351508,SGD,0.8082083332464738,0.0381373641893375,29,0.22,0.7490787506103516,0.7813333333333333,0.5893333333333334,0.8559218645095825,586,164,164,586,0.3516165848482739
64,0.0116292058954084,SGD,0.7021368058456872,2.346726191575377e-05,40,0.0613333333333333,3.259394407272339,0.938281730572073,0.8933333333333333,3.4615700244903564,704,47,46,703,0.0057388273152438
64,0.0630431975326039,SGD,0.6808540987497,0.0001823139735854,32,0.044,3.4404988288879395,0.9569407422595858,0.924,3.6721930503845215,718,33,32,717,0.0010997651991519
16,0.0196956220281681,Adam,0.7326422320593732,0.0007703923804019,11,0.2786666666666667,1.1890602111816406,0.7246033381413559,0.5186666666666667,2.173642635345459,541,198,209,552,0.4597400609234517
32,0.0076919456522951,Adam,0.7637445418379198,0.015623564341931,16,0.2973333333333333,0.8947919011116028,0.7034228325476533,0.448,1.0756596326828003,528,224,222,526,0.4256574435667558
16,1.3771771785734037e-05,Adam,0.723977196834379,1.3790643510626506e-05,23,0.0986666666666666,2.1183786392211914,0.9013333333333332,0.8093333333333333,2.3568227291107178,676,74,74,676,0.0583757297728549
32,0.0079296524749438,SGD,0.5293073708145682,0.086829889593295,50,0.1426666666666666,0.7797046303749084,0.8566304570608732,0.7226666666666667,1.0037044286727903,643,109,107,641,0.2264097953384573
